date,open,high,low,close,volume
8/31/00,151.0625,153.0937,150.9062,152.3437,4863100
9/1/00,153.25,153.5937,152,152.5,3191200
9/5/00,151.875,152.2031,150.8125,151.2812,3470800
9/6/00,151.1875,151.9531,149.5312,149.5625,4322200
9/7/00,150.25,151.0781,149.8281,150.8437,4265500
9/8/00,150.2812,150.5,149.3281,149.8125,3518200
9/11/00,149.75,151.1875,148.6875,149.5937,3937500
9/12/00,149.75,150.25,148.4375,148.5,4769100
9/13/00,148,149.3437,147.6562,148.8906,7691600
9/14/00,149.875,149.9375,148.1562,149.6406,3397100
9/15/00,148.1875,148.25,146,146,4085700
9/18/00,146.375,146.9687,144.2031,144.6562,5109300
9/19/00,145.125,146.3125,144.7031,145.9687,6588200
9/20/00,145.6875,146.0312,143.1562,144.8906,6508100
9/21/00,144.4687,145.5625,142.625,142.6875,5972300
9/22/00,142.625,145.3125,142.4218,145.2812,7791300
9/25/00,145.9375,146.0625,143.7187,144.25,9726300
9/26/00,144.375,145,142.4062,142.4062,5302400
9/27/00,143.5625,143.9687,142.125,143.1562,7186200
9/28/00,143.1875,146.3281,142.8906,145,7036400
9/29/00,145.4687,145.9687,143.625,143.625,9333600
10/2/00,144.2812,144.9062,143.1406,143.8437,5517800
10/3/00,144.5312,145.75,142.2812,142.5,9347200
10/4/00,142.875,144.25,141.75,143.6875,6148900
10/5/00,143.4062,144.8437,143.3125,144.1875,4566900
10/6/00,143.875,144.6406,139.75,141.0625,10014900
10/9/00,141.3125,141.3125,139.375,140,4508000
10/10/00,140.0937,141.25,137.6875,137.6875,6104700
10/11/00,137.625,138.625,135.125,136.5312,10346000
10/12/00,137.2812,137.5937,132.7812,133.125,12336900
10/13/00,132.9375,137.6562,132.875,137.5625,11778800
10/16/00,137.4062,138.2343,136.6875,138.1875,5659000
10/17/00,138.4375,138.5625,134.4062,134.75,7831700
10/18/00,132.625,136.125,130.1562,134.25,10897300
10/19/00,136.8437,139.4531,136.4375,139.3125,8767300
10/20/00,138.375,141.1875,138.375,139.9062,7373500
10/23/00,139.9375,141.0312,138.9375,140.5312,5290000
10/24/00,140.9687,141.9375,139,139.5937,5750700
10/25/00,138.75,139.5625,136.125,136.3125,9137600
10/26/00,137.125,137.6562,134.0312,136.6875,9345800
10/27/00,137.875,139.2812,136.625,139.2812,9762900
10/30/00,138.4375,141.0937,138.1562,140.5312,10154100
10/31/00,141.0156,143.6875,140.0625,142.9531,7752400
11/1/00,142.25,143.25,141.2187,142.4687,6753600
11/2/00,143.1562,143.9062,142.5156,142.7031,11395100
11/3/00,143.4687,143.75,142.375,142.7812,5187100
11/6/00,143.1562,144.2968,143.0312,143.7812,4042500
11/7/00,143.1406,144,142.5625,143.75,5231300
11/8/00,144.0625,144.0625,140.5625,140.5625,6123300
11/9/00,140,141.2187,137.25,140.0312,10635300
11/10/00,139,139.4687,136.5312,136.625,8569500
11/13/00,135.625,136.9843,133.0156,135.5625,17285300
11/14/00,137.4687,139.625,137,139.125,7668900
