Symbol,Security,GICS_Sector,GICS_Sub_Industry,City,State,CIK,Latitude,Longitude
FFIV,F5 Networks,Information Technology,Communications Equipment,Seattle, Washington,1048695,47.6038321,-122.3300624
FB,"Facebook, Inc.",Communication Services,Interactive Media & Services,Menlo Park, California,1326801,37.4519671,-122.1779927
FAST,Fastenal Co,Industrials,Building Products,Winona, Minnesota,815556,43.9582272,-91.7807784
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,Rockville, Maryland,34903,39.0840054,-77.1527573
FDX,FedEx Corporation,Industrials,Air Freight & Logistics,Memphis, Tennessee,1048911,35.1490215,-90.0516285
FIS,Fidelity National Information Services,Information Technology,Data Processing & Outsourced Services,Jacksonville, Florida,1136893,30.3321838,-81.655651
FITB,Fifth Third Bancorp,Financials,Regional Banks,Cincinnati, Ohio,35527,39.1014537,-84.5124602
FE,FirstEnergy Corp,Utilities,Electric Utilities,Akron, Ohio,1031296,41.083064,-81.518485
FRC,First Republic Bank,Financials,Regional Banks,San Francisco, California,1132979,37.7790262,-122.4199061
FISV,Fiserv Inc,Information Technology,Data Processing & Outsourced Services,Brookfield, Wisconsin,798354,41.8228378,-87.848085
FLT,FleetCor Technologies Inc,Information Technology,Data Processing & Outsourced Services,Norcross, Georgia,1175454,33.9412127,-84.2135309
FLIR,FLIR Systems,Information Technology,Electronic Equipment & Instruments,Wilsonville, Oregon,354908,45.3099218,-122.7681602
FLS,Flowserve Corporation,Industrials,Industrial Machinery,Irving, Texas,30625,32.8295183,-96.9442177
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,Philadelphia, Pennsylvania,37785,39.9527237,-75.1635262
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,Dearborn, Michigan,37996,42.3222599,-83.1763145
FTNT,Fortinet,Information Technology,Systems Software,Sunnyvale, California,1262039,37.3688301,-122.0363496
FTV,Fortive Corp,Industrials,Industrial Machinery,Everett, Washington,1659166,47.9673056,-122.2013998
FBHS,Fortune Brands Home & Security,Industrials,Building Products,Deerfield, Illinois,1519751,42.1711365,-87.8445119
FOXA,Fox Corporation (Class A),Communication Services,Movies & Entertainment,New York, New York,1754301,40.7127281,-74.0060152
FOX,Fox Corporation (Class B),Communication Services,Movies & Entertainment,New York, New York,1754301,40.7127281,-74.0060152
