id,Date,stock_open,stock_high,stock_low,stock_close,stock_volume,stock_dividends,stock_splits,price_change_dollar,price_change_pct,price_swing,volume_change,volume_change_pct,price_change_binary
6054,2/14/2017,216.6036689,217.674774,216.2311193,217.665451,71109000,0,0,0.866210938,0.399545191,1.443654762,15926900,28.86243909,1
6055,2/15/2017,217.4325551,219.0066033,217.3766741,218.8016968,86785800,0,0,1.136245728,0.522014735,1.62992922,15676800,22.0461545,1
6056,2/16/2017,218.8296786,219.0252764,217.80516,218.6154633,84722400,0,0,-0.186233521,-0.085115209,1.220116401,-2063400,-2.377577899,0
6057,2/17/2017,217.8982857,218.9600677,217.8796539,218.9600677,77204100,0,0,0.344604492,0.157630429,1.080413818,-7518300,-8.874040395,1
6058,2/21/2017,219.3605598,220.4502824,219.3512369,220.2640076,88946100,0,0,1.303939819,0.595514896,1.099045501,11742000,15.20903683,1
6059,2/22/2017,219.8262493,220.310561,219.6492833,220.0684052,62115200,0,0,-0.195602417,-0.088803622,0.661277671,-26830900,-30.16534733,0
6060,2/23/2017,220.6272203,220.6458378,219.3977811,220.2174072,74615900,0,0,0.149002075,0.067707164,1.248056658,12500700,20.12502576,1
6061,2/24/2017,219.3046809,220.5434147,219.2581086,220.4968567,82381600,0,0,0.279449463,0.126897082,1.285306105,7765700,10.40756729,1
6062,2/27/2017,220.4037228,221.0277513,220.1336265,220.8414764,56515400,0,0,0.344619751,0.156292365,0.894124793,-25866200,-31.39803063,1
6063,2/28/2017,220.4316667,220.6924542,219.82627,220.2453918,96961900,0,0,-0.596084595,-0.269915147,0.866184295,40446500,71.56721885,0
6064,3/1/2017,222.0336485,223.8312352,222.0150167,223.3282776,149158200,0,0,3.082885742,1.399750395,1.816218491,52196300,53.83176279,1
6065,3/2/2017,223.1233749,223.1326979,221.8660092,221.9218903,70246000,0,0,-1.406387329,-0.629739926,1.266688634,-78912200,-52.9050364,0
6066,3/3/2017,221.8287527,222.2385658,221.4189395,222.0615997,81974300,0,0,0.139709473,0.062954345,0.819626263,11728300,16.69603963,1
6067,3/6/2017,221.2047165,221.7821727,220.7483312,221.4003143,55391500,0,0,-0.6612854,-0.297793676,1.033841559,-26582800,-32.42821226,0
6068,3/7/2017,221.074314,221.4561866,220.5154754,220.7390137,65103700,0,0,-0.661300659,-0.298690027,0.940711221,9712200,17.53373713,0
6069,3/8/2017,221.0556901,221.3351094,220.1801828,220.3292084,78168800,0,0,-0.409805298,-0.185651504,1.154926579,13065100,20.06813745,0
6070,3/9/2017,220.4595865,220.9625441,219.5654618,220.6086121,90683900,0,0,0.279403687,0.126811914,1.397082315,12515100,16.01035196,1
6071,3/10/2017,221.6424709,221.6890432,220.3571506,221.3816833,81991700,0,0,0.773071289,0.350426614,1.331892635,-8692200,-9.585163408,1
6072,3/13/2017,221.3164574,221.5399957,220.9625396,221.4934235,57256800,0,0,0.111740112,0.050473965,0.577456131,-24734900,-30.16756574,1
6073,3/14/2017,220.9066616,220.9625568,219.9845963,220.645874,59880800,0,0,-0.847549438,-0.382652191,0.977960519,2624000,4.582861774,0
6074,3/15/2017,221.2606228,223.0116375,221.0091439,222.5552521,96081800,0,0,1.909378052,0.865358602,2.002493558,36201000,60.45510414,1
6075,3/16/2017,222.7042413,222.7880628,221.7635443,222.1174622,78344000,0,0,-0.437789917,-0.196710665,1.024518531,-17737800,-18.46114457,0
6076,3/17/2017,222.4008892,222.6066872,221.7273712,221.7273712,89002100,1.033,0,-0.390090942,-0.175623717,0.879315999,10658100,13.60423262,0
6077,3/20/2017,221.7273859,222.0360829,221.0632314,221.4841766,52537000,0,0,-0.24319458,-0.109681804,0.972851512,-36465100,-40.97105574,0
6078,3/21/2017,222.1389935,222.2699546,218.5001316,218.6404419,131809300,0,0,-2.843734741,-1.283944878,3.769823001,79272300,150.8885167,0
6079,3/22/2017,218.6778531,219.4636195,218.0043351,219.1549225,97569200,0,0,0.514480591,0.235308979,1.459284385,-34240100,-25.97699859,1
6080,3/23/2017,219.1549263,220.1464906,218.5188339,218.9210663,100410300,0,0,-0.233856201,-0.106708167,1.627656794,2841100,2.911882028,0
6081,3/24/2017,219.2484721,219.8658517,217.9201487,218.7620392,112504900,0,0,-0.1590271,-0.072641296,1.945702997,12094600,12.04517863,0
6082,3/27/2017,216.9566404,218.8181715,216.6573069,218.5375366,87454500,0,0,-0.224502563,-0.102624095,2.160864595,-25050400,-22.26605241,0
6083,3/28/2017,218.2101522,220.5861642,218.0885404,220.1278076,93483900,0,0,1.590270996,0.727687802,2.497623768,6029400,6.894327908,1
6084,3/29/2017,219.8191069,220.5861605,219.5758833,220.3335876,61950400,0,0,0.205780029,0.093482069,1.010277171,-31533500,-33.73147676,1
6085,3/30/2017,220.2681179,221.250333,220.0810327,221.0351715,56737900,0,0,0.701583862,0.318418935,1.169300318,-5212500,-8.413989256,1
6086,3/31/2017,220.6703352,221.2409543,220.4645373,220.5206757,73733100,0,0,-0.51449585,-0.232766508,0.776417071,16995200,29.95387563,0
6087,4/3/2017,220.5768193,220.7919666,218.8088378,220.1371613,85546500,0,0,-0.383514404,-0.173913128,1.983128812,11813400,16.02184094,0
6088,4/4/2017,219.8284737,220.3710308,219.4168777,220.2774811,56466200,0,0,0.140319824,0.063741998,0.954153117,-29080300,-33.99355906,1
6089,4/5/2017,221.0070977,222.0641497,219.3981394,219.6226501,108800600,0,0,-0.654830933,-0.297275477,2.666010293,52334400,92.68270222,0
6090,4/6/2017,219.7723159,220.8012915,219.2952323,220.240036,69135800,0,0,0.617385864,0.281112109,1.506059245,-39664800,-36.4564166,1
6091,4/7/2017,219.9687738,220.7639038,219.4917044,220.0155487,74412300,0,0,-0.224487305,-0.101928473,1.272199338,5276500,7.63208063,0
6092,4/10/2017,220.1651972,221.0070876,219.5758653,220.1464844,67615300,0,0,0.130935669,0.059512007,1.431222306,-6797000,-9.134242592,1
6093,4/11/2017,219.7348934,219.9968155,218.275609,219.8845673,88045300,0,0,-0.261917114,-0.118974016,1.721206512,20430000,30.21505488,0
6094,4/12/2017,219.5852351,219.7910331,218.677857,218.9210663,81864400,0,0,-0.963500977,-0.438184902,1.113176109,-6180900,-7.020136225,0
6095,4/13/2017,218.5562433,219.3513731,217.4991913,217.4991913,92880400,0,0,-1.421875,-0.649492086,1.852181835,11016000,13.45639863,0
6096,4/17/2017,218.0604596,219.4262085,217.8453123,219.4262085,68405400,0,0,1.927017212,0.885988219,1.580896178,-24475000,-26.35109237,1
6097,4/18/2017,218.6310825,219.3513754,218.0324014,218.7713928,83225800,0,0,-0.654815674,-0.298421815,1.318974095,14820400,21.66554102,0
6098,4/19/2017,219.3794177,219.78165,218.1259171,218.3691406,68699900,0,0,-0.402252197,-0.183868737,1.655732984,-14525900,-17.45360213,0
6099,4/20/2017,219.0333083,220.623568,218.6872,220.1464844,92572200,0,0,1.77734375,0.813917088,1.936367987,23872300,34.74866776,1
6100,4/21/2017,220.0623097,220.1184339,219.0146213,219.4449158,110389800,0,0,-0.701568604,-0.318682629,1.103812598,17817600,19.24724701,0
6101,4/24/2017,221.8677019,222.0828634,219.4168531,221.8583527,119209900,0,0,2.41343689,1.099791664,2.666010305,8820100,7.989959217,1
6102,4/25/2017,222.5505651,223.5234166,222.4570154,223.1492462,76698300,0,0,1.290893555,0.581854836,1.066401179,-42511600,-35.66113217,1
6103,4/26/2017,223.1118406,224.0659937,222.9621811,223.0089417,84702500,0,0,-0.140304565,-0.062874766,1.103812603,8004200,10.4359549,0
6104,4/27/2017,223.3550375,223.5234099,222.6160318,223.1960144,57410300,0,0,0.187072754,0.083885764,0.907378042,-27292200,-32.22124495,1
6105,4/28/2017,223.4766482,223.5047103,222.5692701,222.7095947,63532800,0,0,-0.486419678,-0.217933855,0.935440159,6122500,10.66446265,0
6106,5/1/2017,223.2708588,223.7292296,222.8218515,223.2708588,66882500,0,0,0.561264038,0.252016101,0.907378131,3349700,5.272394732,1
6107,5/2/2017,223.4205454,223.5515065,222.915414,223.355072,57375700,0,0,0.084213257,0.03771798,0.636092517,-9506800,-14.21418159,1
6108,5/3/2017,223.3550564,223.4579554,222.3541286,223.0837708,73137700,0,0,-0.27130127,-0.121466357,1.103826838,15762000,27.47156026,0
6109,5/4/2017,223.4111908,223.495377,222.4289757,223.3457031,61462700,0,0,0.261932373,0.117414356,1.066401286,-11675000,-15.96303958,1
6110,5/5/2017,223.7479824,224.2437647,223.2708987,224.2250519,62001300,0,0,0.879348755,0.393716442,0.97286597,538600,0.87630384,1
6111,5/8/2017,224.2717777,224.4308009,223.7292207,224.1875916,48385700,0,0,-0.037460327,-0.016706575,0.701580118,-13615600,-21.96018471,0
6112,5/9/2017,224.4682444,224.6833917,223.6076269,223.9818115,51363200,0,0,-0.205780029,-0.091789215,1.075764831,2977500,6.153677636,0
6113,5/10/2017,223.9350107,224.3840179,223.7104999,224.3840179,54293800,0,0,0.402206421,0.179571019,0.673518031,2930600,5.705641393,1
6114,5/11/2017,223.8976124,224.1034104,222.7563742,223.9256744,62358300,0,0,-0.458343506,-0.204267447,1.34703614,8064500,14.85344551,0
6115,5/12/2017,223.6544127,223.9724589,223.2615295,223.5515137,53912700,0,0,-0.374160767,-0.167091499,0.710929473,-8445600,-13.5436662,0
6116,5/15/2017,224.0098835,224.9172617,223.9911707,224.7863007,61918900,0,0,1.234786987,0.55235009,0.92609101,8006200,14.85030429,1
